variable	mz	rt
2390	723.3835426	5.9760753
2391	719.203821	0.441634695
2392	861.2484402	4.805472735
2393	775.2073149	2.871311344
2394	727.2418269	5.006946897
2395	187.0726445	0.436179771
2396	408.071227	2.848648991
2397	311.2234581	5.942444303
2398	531.3035421	6.00765176
2399	445.2372457	7.300253267
2400	342.0839306	2.240646603
2402	311.2234923	5.564095762
2403	515.1244673	2.9710712
2404	553.2870227	6.105204192
2405	179.0225857	2.948092682
2406	518.153083	2.622847583
2407	367.1058663	0.384162318
2408	143.0353017	1.958715391
2409	187.0250572	0.756791569
2410	745.197078	2.875415881
2411	369.0086133	0.684109453
2412	758.5446187	8.600097413
2413	333.1356103	6.0374874
2415	191.0563731	0.448139101
2416	346.0578077	3.543834956
2417	302.0674689	4.186114261
2419	372.0946322	2.364486673
2420	559.3141432	6.151125978
2421	303.9214874	0.399237259
2422	339.8979811	0.418146587
2423	491.2677707	2.969223348
2424	341.8949469	0.393257733
2425	375.0581988	0.96808156
2426	451.0191284	0.415783155
2427	584.1405843	2.95287435
2428	158.0825073	2.508907344
2429	819.2380147	4.426331721
2430	111.0090522	1.951624474
2431	525.1416782	4.44421623
2432	478.0380452	0.417501197
2433	564.3324652	6.199108812
2434	470.092717	2.890460433
2435	239.1018764	2.243060648
2436	187.0251525	1.092361158
2438	435.0449631	0.414111292
2439	421.2271148	7.688216512
2440	222.0775392	2.469935447
2442	564.1587072	2.701645217
2445	139.0879271	0.720895771
2447	239.0776826	0.467231465
