variable	mz	rt
1297	596.5104821	8.648684262
1298	179.079043	10.23767033
1301	315.2312216	6.985548038
1310	143.0321601	0.361637686
1315	223.0637035	8.269276232
1317	284.2949102	8.514511965
1322	142.1592516	3.751528127
1329	596.5106273	8.2737156
1339	174.9850623	11.48351074
1342	223.0639857	6.000605471
1346	223.0638053	7.876454647
1355	145.0496618	11.42247203
1356	352.3403822	0.145491547
1357	572.4575946	8.781908297
1365	329.3243075	0.189640686
1373	436.4007798	7.781374356
1376	230.2298991	10.37885359
1384	223.0639109	7.373193197
1386	249.18411	5.704363103
1402	315.2322257	7.568983263
1423	269.211136	7.832766309
1424	223.064009	6.745711988
1444	227.1278039	6.571740603
1456	483.3687601	7.932485945
1486	573.2531594	4.776615707
1487	229.9814283	4.763470762
1488	231.9793134	4.766022653
1489	568.2979023	4.778239771
1490	202.1804163	0.44283263
1491	483.4364117	6.547119397
1492	211.9707049	4.768938156
1493	213.9685499	4.754478759
1494	184.1698765	0.758646632
1495	384.3593749	0.423632978
1496	551.2710928	4.776197223
1497	510.3819404	9.784312582
1498	260.1861994	0.711636686
1500	111.0394125	4.826434024
1501	437.1947947	5.631791073
1502	316.2126439	2.567340242
1503	216.1961471	0.739872374
1504	440.4111362	6.160262544
1505	144.1384152	0.742592896
1506	242.2229595	0.409035549
1507	244.1911243	0.739177889
1508	295.1122367	4.776455804
1509	415.21268	5.631787424
1510	280.2640372	7.131333282
1511	307.2483557	5.644134509
1512	521.3364917	6.534677521
1513	207.1404399	7.107972921
1514	505.4185875	6.551266874
1515	645.2740568	4.929279188
1517	184.169766	2.259672068
1518	274.2015566	0.738055348
1519	522.3571658	6.630240521
1520	519.2431725	3.934632155
1523	468.4426661	6.548495253
1524	572.3820429	9.765519941
1526	271.1157304	3.169825456
1527	220.1465488	0.758506601
1529	514.287833	3.942641881
1530	385.2934671	7.166889562
1531	360.3235528	8.419288209
1532	171.149399	3.862198503
1534	195.1229463	2.259006818
1535	149.023516	5.188693985
1536	227.6537735	7.107882438
1537	341.2672747	7.168156009
1542	325.1263366	4.282234482
1544	209.1287475	2.588912956
1545	640.3186063	4.933084608
1546	111.0370611	10.42562888
1549	592.4967752	9.745855492
1551	334.3012319	7.121209452
1553	431.3854726	7.835581079
1557	184.1698142	2.526894788
1559	237.2216778	7.10042095
1560	325.2492866	4.257125548
1561	522.5987572	7.896781056
1562	244.2275872	2.775957531
1563	393.2983105	8.462685468
1564	260.1862643	2.235594054
1566	468.3911007	7.178195271
1567	280.6551358	6.623345429
1570	347.1704894	4.776385283
1571	380.3380731	7.166629206
1572	419.7069008	5.068033587
1573	422.184628	5.066997233
1574	302.1967577	2.336574184
1575	288.2901827	4.913655147
1577	387.2355956	10.45379368
1579	525.5083016	6.300989258
1580	247.5963813	5.632275545
1581	416.7359206	10.36876
1582	473.3464059	7.177680509
1583	432.2393166	5.630453541
1584	177.0548208	5.190401415
1590	280.1445429	6.515658472
1591	236.6402783	7.128995765
1593	821.378738	5.067708146
1596	512.4174585	7.174758832
1597	260.1496937	3.411172076
1600	171.0993089	2.905361832
1601	457.3512639	7.774729312
1602	526.529781	6.381886837
1603	157.0973797	0.434875596
1604	389.2666462	7.958434653
1605	430.2449831	3.335358566
1606	735.6812026	7.988449483
1607	413.3248377	7.784104394
1608	304.3004834	5.496218388
1610	175.0867334	2.930868425
1612	184.1698242	0.428990469
1613	363.3113187	7.172008876
1615	352.3219872	7.279049347
1616	428.1829581	5.051031571
1617	586.3979622	6.397779121
1619	138.0550371	0.350878736
1624	369.1527409	4.358176959
1625	576.3342276	7.647103716
1626	374.303946	7.276612429
1627	297.2408314	7.1564815
1630	337.2857017	3.758475491
1633	608.3798699	6.402375571
1635	758.2220375	8.611146865
1636	209.1537672	7.798071965
1640	387.2727329	6.059885941
1643	408.2237291	4.43845103
1644	249.2064053	5.169504818
1646	704.5231817	10.29205947
1648	158.1541013	0.459393338
1649	251.212104	2.683978063
1650	489.3144368	8.557116435
1657	697.6591641	8.397380081
1658	302.1969097	1.118134171
1660	534.371971	8.554420059
1662	413.1791924	4.434728022
1664	244.1547972	3.649771774
1666	496.4221528	7.763203935
1668	152.0707901	3.213948653
1670	369.2983678	7.783697397
1672	453.1693242	5.630225394
1674	816.4232789	5.067723704
1675	277.2277512	0.459205554
1676	339.3015963	3.896144878
1678	376.3197236	7.117238885
1680	319.2849689	7.168416188
1687	556.4435962	7.16942515
1689	211.1692442	8.43368695
1697	501.3776375	7.765132853
1700	157.0836314	2.374195891
1703	289.1544583	6.259225541
1707	535.3981531	9.580774665
1709	202.1803396	2.710319203
1712	357.1529801	4.108973615
1713	540.4484611	7.76511785
1716	336.3116053	7.162757612
1717	498.9027515	0.361375599
1718	362.2986974	5.689292785
1720	265.2527997	7.561571003
1727	517.3728708	7.174491085
1728	172.1696906	5.132470882
1731	589.2269286	4.774061854
1736	173.1286989	2.25856815
1739	452.3957669	7.773734988
1740	384.3594511	0.649328029
1744	118.0865743	0.388486459
1745	381.3120483	5.244959673
1747	223.0967444	5.187200135
1749	407.7496434	10.39872515
1751	273.2550145	8.440586588
1754	324.3264728	8.228541029
1756	174.9851674	0.212655647
1759	300.2003074	2.781585824
1760	364.1971047	4.374450067
1767	332.3319684	5.921621603
1769	480.3100541	6.430283888
1771	304.0985195	4.78021308
1775	216.1960914	2.150414547
1776	333.1836316	6.511997552
1778	209.1536457	8.429631
1779	511.2963181	8.564482048
1780	177.0595899	7.107844591
1782	354.33718	7.633164109
1784	357.2624429	6.466816953
1790	226.9546364	11.44796688
1793	408.3695063	7.167630424
1794	244.1912026	2.184518126
1797	282.2790874	8.414526247
1804	214.1801731	8.4899016
1807	302.1967675	0.746602531
1809	260.1859691	0.501819108
1811	100.1126392	0.743816136
1818	294.861902	2.918321442
1820	113.1077016	0.478535458
1821	280.2640075	6.118108921
1822	266.1730655	7.844476303
1825	209.1285036	10.31010568
1827	452.3958924	7.18264205
1829	144.1384151	4.318071632
1837	216.1961289	4.2128845
1841	226.1805215	2.393963855
1842	534.3726366	9.251824885
1843	354.3374264	5.905262706
1845	296.2952125	8.419913197
1848	211.1694602	7.838670829
1849	496.4222963	7.185983097
1852	280.2640008	6.622711132
1857	251.1857489	3.980506397
1859	524.4535607	7.773448806
1870	489.3181734	9.26602245
1873	202.1803948	11.33379365
1884	354.3374783	5.622621094
1895	173.1286611	0.759310262
1896	211.1695615	4.872480347
1902	274.2016709	2.025558479
1905	568.2975181	4.406629492
1906	202.180131	10.21072721
1907	554.1761408	4.893369112
1909	439.3413469	8.398996462
1912	164.1281218	10.26467856
1916	573.2528247	4.382970376
1917	395.3152036	8.410066794
1918	173.1287473	1.228007835
1919	332.3314693	10.17633397
1923	549.376557	8.541653212
1933	540.4484922	7.186289515
1935	244.2275049	5.781828832
1936	195.1223766	0.861958715
1944	468.3912823	6.900006332
1945	237.2216175	6.157332744
1946	243.9419191	0.384066756
1949	473.3464177	6.894889994
1967	523.3617891	7.955235832
1971	284.3316866	5.995103244
1977	262.1787463	4.984642618
1996	512.4175332	6.896334535
2015	524.5049394	7.242891406
2017	389.2678115	6.931010088
2022	517.3728867	6.899109721
2024	226.1804601	2.857411763
2025	112.018169	0.519167036
2034	413.3251139	7.422433229
